datetime,symbol,open,high,low,close,volume
2023-01-03 21:30:00,TVC:DJI,33148.9,33387.52,32850.57,33136.38,0.0
2023-01-04 21:30:00,TVC:DJI,33165.14,33409.1,33033.48,33269.78,0.0
2023-01-05 21:30:00,TVC:DJI,33191.72,33191.72,32812.33,32930.09,0.0
2023-01-06 21:30:00,TVC:DJI,33055.3,33710.66,32997.39,33630.62,0.0
2023-01-09 21:30:00,TVC:DJI,33664.39,33935.11,33487.66,33517.66,0.0
2023-01-10 21:30:00,TVC:DJI,33516.43,33726.54,33421.8,33704.11,0.0
2023-01-11 21:30:00,TVC:DJI,33754.03,33974.69,33711.04,33973.02,0.0
2023-01-12 21:30:00,TVC:DJI,34047.86,34292.67,33792.1,34189.98,0.0
2023-01-13 21:30:00,TVC:DJI,34075.31,34342.32,33915.49,34302.62,0.0
2023-01-17 21:30:00,TVC:DJI,34222.32,34269.97,33860.67,33910.86,0.0
2023-01-18 21:30:00,TVC:DJI,33948.49,34016.53,33269.9,33296.97,0.0
2023-01-19 21:30:00,TVC:DJI,33171.35,33227.49,32982.05,33044.57,0.0
2023-01-20 21:30:00,TVC:DJI,33073.46,33381.95,32948.93,33375.5,0.0
2023-01-23 21:30:00,TVC:DJI,33439.56,33782.88,33316.25,33629.57,0.0
2023-01-24 21:30:00,TVC:DJI,33444.72,33782.92,33310.56,33733.97,0.0
2023-01-25 21:30:00,TVC:DJI,33538.36,33773.09,33273.21,33743.85,0.0
2023-01-26 21:30:00,TVC:DJI,33771.66,33953.79,33635.6,33949.42,0.0
2023-01-27 21:30:00,TVC:DJI,33952.93,34164.33,33830.85,33978.09,0.0
2023-01-30 21:30:00,TVC:DJI,33909.21,34055.29,33695.18,33717.1,0.0
2023-01-31 21:30:00,TVC:DJI,33803.56,34095.23,33664.91,34086.05,0.0
2023-02-01 21:30:00,TVC:DJI,34039.6,34334.7,33581.42,34092.97,0.0
2023-02-02 21:30:00,TVC:DJI,34129.3,34145.14,33814.78,34053.95,0.0
2023-02-03 21:30:00,TVC:DJI,33926.3,34179.58,33813.86,33926.02,0.0
2023-02-06 21:30:00,TVC:DJI,33874.44,33962.84,33683.58,33891.03,0.0
2023-02-07 21:30:00,TVC:DJI,33714.01,34240.0,33634.1,34156.7,0.0
2023-02-08 21:30:00,TVC:DJI,34132.9,34161.65,33899.79,33949.02,0.0
2023-02-09 21:30:00,TVC:DJI,34105.61,34252.57,33607.13,33699.89,0.0
2023-02-10 21:30:00,TVC:DJI,33671.54,33897.31,33591.99,33869.28,0.0
2023-02-13 21:30:00,TVC:DJI,33887.39,34249.6,33887.39,34245.94,0.0
2023-02-14 21:30:00,TVC:DJI,34194.09,34331.47,33827.45,34089.28,0.0
2023-02-15 21:30:00,TVC:DJI,34008.63,34130.49,33833.1,34128.06,0.0
2023-02-16 21:30:00,TVC:DJI,33992.09,34041.16,33686.59,33696.86,0.0
2023-02-17 21:30:00,TVC:DJI,33677.01,33846.64,33517.73,33826.7,0.0
2023-02-21 21:30:00,TVC:DJI,33699.69,33699.69,33115.74,33129.6,0.0
2023-02-22 21:30:00,TVC:DJI,33169.33,33245.97,32948.27,33045.1,0.0
2023-02-23 21:30:00,TVC:DJI,33175.39,33272.4,32795.67,33153.92,0.0
2023-02-24 21:30:00,TVC:DJI,32999.19,32999.19,32643.48,32816.93,0.0
2023-02-27 21:30:00,TVC:DJI,32906.16,33189.28,32814.18,32889.1,0.0
2023-02-28 21:30:00,TVC:DJI,32873.47,32873.47,32636.43,32656.71,0.0
2023-03-01 21:30:00,TVC:DJI,32656.37,32746.15,32500.71,32661.85,0.0
2023-03-02 21:30:00,TVC:DJI,32780.97,33083.45,32665.85,33003.58,0.0
2023-03-03 21:30:00,TVC:DJI,33076.33,33405.82,33008.41,33390.98,0.0
2023-03-06 21:30:00,TVC:DJI,33425.32,33572.22,33383.47,33431.45,0.0
